Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,kg CO2 eq/kg de produit
aides culinaires et ingrédients divers,algues,"Agar (algue), cru",0.0389
aides culinaires et ingrédients divers,herbes,"Ail séché, poudre",0.00294
aides culinaires et ingrédients divers,herbes,"Ail, cru",0.00108
aides culinaires et ingrédients divers,herbes,"Aneth, frais",0.00256
aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",0.0349
aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,0.00376
aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,0.0029
aides culinaires et ingrédients divers,herbes,"Basilic, frais",0.00256
aides culinaires et ingrédients divers,herbes,"Basilic, séché",0.00695
aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,0.00378
aides culinaires et ingrédients divers,épices,"Cannelle, poudre",0.0341
aides culinaires et ingrédients divers,épices,"Cardamome, poudre",0.0341
aides culinaires et ingrédients divers,épices,"Carvi, graine",0.0341
aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais",0.00256
aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche",0.00189
aides culinaires et ingrédients divers,épices,Clou de girofle,0.0341
aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche",0.00397
aides culinaires et ingrédients divers,épices,"Coriandre, graine",0.00498
aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté",0.0281
aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée",0.00383
aides culinaires et ingrédients divers,épices,"Cumin, graine",0.0341
aides culinaires et ingrédients divers,épices,"Curcuma, poudre",0.0341
aides culinaires et ingrédients divers,épices,"Curry, poudre",0.0341
aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée",0.0349
aides culinaires et ingrédients divers,herbes,"Estragon, frais",0.00221
aides culinaires et ingrédients divers,épices,"Fenouil, graine",0.00498
aides culinaires et ingrédients divers,épices,"Fenugrec, graine",0.0341
aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée",0.00188
aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",0.0349
aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche",0.00374
aides culinaires et ingrédients divers,épices,"Gingembre, poudre",0.0057
aides culinaires et ingrédients divers,épices,"Gingembre, racine crue",0.00356
aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé",0.00563
aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée",0.0349
aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),0.00627
aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées",7
aides culinaires et ingrédients divers,sauces,Houmous,0.00425
aides culinaires et ingrédients divers,sauces,Ketchup,0.00302
aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée",0.0349
aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée",0.0349
aides culinaires et ingrédients divers,épices,"Laurier, feuille",0.00339
aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,21
aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,0.00919
aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,0.00919
aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée",0.00952
aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée",0.00919
aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",0.0349
aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée",0.00695
aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),0.0099
aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,0.0099
aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",0.00595
aides culinaires et ingrédients divers,herbes,"Menthe, fraîche",0.00221
aides culinaires et ingrédients divers,ingrédients divers,Miso,0.00357
aides culinaires et ingrédients divers,condiments,Moutarde,0.00767
aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,0.00782
aides culinaires et ingrédients divers,épices,Noix de muscade,0.00715
aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)",0.00461
aides culinaires et ingrédients divers,herbes,"Origan, séché",0.00695
aides culinaires et ingrédients divers,épices,Paprika,0.0341
aides culinaires et ingrédients divers,épices,"Pavot, graine",0.0086
aides culinaires et ingrédients divers,herbes,"Persil, frais",0.00506
aides culinaires et ingrédients divers,herbes,"Persil, séché",0.0198
aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",0.0029
aides culinaires et ingrédients divers,épices,"Poivre blanc, poudre",0.0341
aides culinaires et ingrédients divers,épices,Poivre de Cayenne ou piment de Cayenne,0.0341
aides culinaires et ingrédients divers,épices,"Poivre noir, poudre",0.0341
aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""",0.00338
aides culinaires et ingrédients divers,épices,Quatre épices,0.0227
aides culinaires et ingrédients divers,herbes,"Raifort, cru",0.00186
aides culinaires et ingrédients divers,herbes,"Romarin, frais",0.00256
aides culinaires et ingrédients divers,herbes,"Romarin, séché",0.00695
aides culinaires et ingrédients divers,épices,Safran,0.0341
aides culinaires et ingrédients divers,herbes,"Sarriette, séchée",0.00695
aides culinaires et ingrédients divers,sauces,Sauce à la crème,0.00423
aides culinaires et ingrédients divers,sauces,Sauce à la crème aux épices,0.00429
aides culinaires et ingrédients divers,sauces,Sauce à la crème aux herbes,0.00429
aides culinaires et ingrédients divers,sauces,"Sauce à l'échalote à la crème, préemballée",0.00393
aides culinaires et ingrédients divers,sauces,"Sauce aigre douce, préemballée",0.00347
aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée",0.0106
aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée",0.0119
aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée",0.0119
aides culinaires et ingrédients divers,sauces,"Sauce au beurre blanc, préemballée",0.00859
aides culinaires et ingrédients divers,sauces,"Sauce au beurre, préemballée",0.00859
aides culinaires et ingrédients divers,sauces,Sauce au chocolat,0.0108
aides culinaires et ingrédients divers,sauces,"Sauce au curry, préemballée",0.00241
aides culinaires et ingrédients divers,sauces,"Sauce au fromage pour risotto ou pâtes, préemballée",0.00698
aides culinaires et ingrédients divers,sauces,"Sauce au poivre vert, préemballée",0.00327
aides culinaires et ingrédients divers,sauces,"Sauce au poivre, chaude, préemballée",0.00497
aides culinaires et ingrédients divers,sauces,"Sauce au poivre, condimentaire, froide, préemballée",0.00494
aides culinaires et ingrédients divers,sauces,"Sauce au roquefort, préemballée",0.00859
aides culinaires et ingrédients divers,sauces,Sauce au vin rouge,0.0065
aides culinaires et ingrédients divers,sauces,Sauce au yaourt,0.00354
aides culinaires et ingrédients divers,sauces,"Sauce aux champignons et à la crème, préemballée",0.00733
aides culinaires et ingrédients divers,sauces,"Sauce aux champignons, préemballée",0.00667
aides culinaires et ingrédients divers,sauces,"Sauce barbecue, préemballée",0.00493
aides culinaires et ingrédients divers,sauces,"Sauce basquaise ou Sauce aux poivrons, préemballée",0.00437
aides culinaires et ingrédients divers,sauces,"Sauce béarnaise, préemballée",0.0101
aides culinaires et ingrédients divers,sauces,"Sauce béchamel, maison",0.00396
aides culinaires et ingrédients divers,sauces,"Sauce béchamel, préemballée",0.00396
aides culinaires et ingrédients divers,sauces,"Sauce bourguignonne, préemballée",0.00767
aides culinaires et ingrédients divers,sauces,"Sauce burger, préemballée",0.0099
aides culinaires et ingrédients divers,sauces,"Sauce carbonara, préemballée",0.00969
aides culinaires et ingrédients divers,sauces,"Sauce chasseur, préemballée",0.0047
aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",0.0099
aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, préemballée",0.0099
aides culinaires et ingrédients divers,sauces,"Sauce grand veneur, préemballée",0.00771
aides culinaires et ingrédients divers,sauces,"Sauce hollandaise, préemballée",0.0113
aides culinaires et ingrédients divers,sauces,"Sauce indienne type tandoori ou tikka masala, préemballée",0.00369
aides culinaires et ingrédients divers,sauces,"Sauce kebab, préemballée",0.00458
aides culinaires et ingrédients divers,sauces,"Sauce madère, préemballée",0.00845
aides culinaires et ingrédients divers,sauces,"Sauce moutarde, préemballée",0.00423
aides culinaires et ingrédients divers,sauces,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée",0.00318
aides culinaires et ingrédients divers,sauces,"Sauce pesto rosso, préemballée",0.00793
aides culinaires et ingrédients divers,sauces,"Sauce pesto, préemballée",0.00793
aides culinaires et ingrédients divers,sauces,"Sauce rouille, préemballée",0.00858
aides culinaires et ingrédients divers,sauces,"Sauce soja, préemballée",0.00211
aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée",0.00494
aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée",0.0188
aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée",0.00388
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée",0.00376
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée",0.00337
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée",0.00341
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée",0.00393
aides culinaires et ingrédients divers,sauces,"Sauce végétale type bolognaise, préemballée",0.00503
aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée",0.00932
aides culinaires et ingrédients divers,herbes,"Sauge, fraîche",0.00256
aides culinaires et ingrédients divers,herbes,"Sauge, séchée",0.00695
aides culinaires et ingrédients divers,sels,Sel au céleri,0.00188
aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)",0.00188
aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0.00188
aides culinaires et ingrédients divers,sels,"Sel marin gris, non iodé, non fluoré",0.00188
aides culinaires et ingrédients divers,ingrédients divers,Sirop d'agave,0.0425
aides culinaires et ingrédients divers,ingrédients divers,Sirop d'érable,0.0102
aides culinaires et ingrédients divers,ingrédients divers,Sirop léger pour fruits appertisés au sirop,0.00276
aides culinaires et ingrédients divers,ingrédients divers,Sirop pour fruits appertisés au sirop,0.00276
aides culinaires et ingrédients divers,ingrédients divers,Son d'avoine,0.0022
aides culinaires et ingrédients divers,ingrédients divers,Son de blé,0.000966
aides culinaires et ingrédients divers,ingrédients divers,Son de maïs,0.00142
aides culinaires et ingrédients divers,ingrédients divers,Son de riz,0.00509
aides culinaires et ingrédients divers,algues,"Spiruline (Spirulina sp.), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, crème dessert",0.00535
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé",0.00535
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake",0.00535
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, prêt à boire",0.00535
aides culinaires et ingrédients divers,condiments,Tapenade,0.00841
aides culinaires et ingrédients divers,ingrédients divers,Tempeh,0.00336
aides culinaires et ingrédients divers,herbes,"Thym, frais",0.00256
aides culinaires et ingrédients divers,herbes,"Thym, séché",0.00695
aides culinaires et ingrédients divers,épices,"Vanille, extrait alcoolique",0.00299
aides culinaires et ingrédients divers,épices,"Vanille, extrait aqueux",0.00299
aides culinaires et ingrédients divers,condiments,Vinaigre,0.00552
aides culinaires et ingrédients divers,condiments,Vinaigre balsamique,0.00552
aides culinaires et ingrédients divers,condiments,Vinaigre de cidre,0.00349
aides culinaires et ingrédients divers,algues,"Wakamé (Undaria pinnatifida), séchée ou déshydratée",0.0389
aides culinaires et ingrédients divers,algues,"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée",0.0349
aliments infantiles,céréales et biscuits infantiles,Biscuit pour bébé,0.00536
aliments infantiles,laits et boissons infantiles,Boisson aux fruits pour bébé dès 4/6mois,0.00403
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois,0.00329
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois,0.00333
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner,0.00333
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois,0.00333
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois,0.00333
aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois,0.00333
aliments infantiles,céréales et biscuits infantiles,"Céréales instantanées, poudre à reconstituer, dès 4/6 mois",0.0128
aliments infantiles,céréales et biscuits infantiles,"Céréales instantanées, poudre à reconstituer, dès 6 mois",0.0128
aliments infantiles,desserts infantiles,Dessert lacté infantile au riz ou à la semoule,0.00298
aliments infantiles,desserts infantiles,Dessert lacté infantile nature sucré ou aux fruits,0.00298
aliments infantiles,desserts infantiles,Dessert lacté infantile type crème dessert,0.00298
aliments infantiles,laits et boissons infantiles,"Lait 1er âge, poudre soluble (préparation pour nourrissons)",0.0329
aliments infantiles,laits et boissons infantiles,"Lait 1er âge, prêt à consommer (préparation pour nourrissons)",0.00293
aliments infantiles,laits et boissons infantiles,"Lait 2e âge, poudre soluble (préparation de suite)",0.0329
aliments infantiles,laits et boissons infantiles,"Lait 2e âge, prêt à consommer (préparation pour nourrissons)",0.00293
aliments infantiles,laits et boissons infantiles,"Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)",0.00249
aliments infantiles,desserts infantiles,Petit pot fruit avec banane pour bébé,2
aliments infantiles,desserts infantiles,Petit pot fruit sans banane pour bébé,2
aliments infantiles,petits pots salés et plats infantiles,"Petit pot légumes, avec féculent, dès 4/6 mois",0.00219
aliments infantiles,petits pots salés et plats infantiles,"Petit pot légumes, dès 4-6 mois",0.00219
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et lait/crème, dès 12 mois",0.00238
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et lait/crème, dès 18 mois",0.00238
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et lait/crème, dès 6-8 mois",0.00238
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et lait/crème, dès 8-12 mois",0.00238
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et viande/poisson, dès 12 mois",0.0255
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et viande/poisson, dès 18 mois",0.0255
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et viande/poisson, dès 6-8 mois",0.0255
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent et viande/poisson, dès 8-12 mois",0.0255
aliments infantiles,petits pots salés et plats infantiles,"Plat légumes, avec féculent, dès 6-8 mois",0.00225
aliments infantiles,petits pots salés et plats infantiles,Soupe pour bébé légumes et pomme de terre,0.00137
aliments infantiles,petits pots salés et plats infantiles,"Soupe pour bébé légumes, céréales et lait",0.00162
boissons,boisson alcoolisées,Alcool pur,0.00838
boissons,boisson alcoolisées,Apéritif à base de vin ou vermouth,0.00548
boissons,boisson alcoolisées,"Bière ""coeur de marché"" (4-5° alcool)",0.00368
boissons,boisson alcoolisées,"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",0.00368
boissons,boisson alcoolisées,"Bière ""spéciale"" (5-6° alcool)",0.00368
boissons,boisson alcoolisées,Bière brune,0.00368
boissons,boisson alcoolisées,Bière faiblement alcoolisée (3° alcool),0.00368
boissons,boisson alcoolisées,Bière forte (>8° alcool),0.00368
boissons,boisson alcoolisées,"Bière sans alcool (<1,2° alcool)",0.00368
boissons,boissons sans alcool,"Boisson à base d'avoine, nature",0.00161
boissons,boissons sans alcool,"Boisson à base de riz, nature",0.00144
boissons,boissons sans alcool,"Boisson à la noix de coco, nature, préemballée",0.00715
boissons,boissons sans alcool,"Boisson à la noix de coco, nature, préemballée",0.00351
boissons,boissons sans alcool,Boisson à l'amande,0.00144
boissons,boissons sans alcool,"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants",0.00113
boissons,boissons sans alcool,"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant",0.00113
boissons,boissons sans alcool,"Boisson à l'eau minérale ou de source, aromatisée, sucrée",0.00113
boissons,boissons sans alcool,Boisson au jus de fruit et au lait,0.00419
boissons,boissons sans alcool,"Boisson au soja, aromatisée, sucrée",0.00128
boissons,boissons sans alcool,"Boisson au soja, aromatisée, sucrée, enrichie en calcium",0.00128
boissons,boissons sans alcool,"Boisson au soja, nature",0.00125
boissons,boissons sans alcool,"Boisson au soja, nature, enrichie en calcium",0.00128
boissons,boissons sans alcool,"Boisson au thé, aromatisée, non sucrée, avec édulcorants",0.00161
boissons,boissons sans alcool,"Boisson au thé, aromatisée, sucrée",0.00161
boissons,boissons sans alcool,"Boisson au thé, aromatisée, sucrée, avec édulcorants",0.00161
boissons,boissons sans alcool,"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)",0.00282
boissons,boissons sans alcool,"Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",0.00282
boissons,boissons sans alcool,"Boisson énergisante, non sucrée, avec édulcorants",0.00147
boissons,boissons sans alcool,"Boisson énergisante, sucrée",0.00147
boissons,boissons sans alcool,"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants",0.00113
boissons,boissons sans alcool,"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant",0.00113
boissons,boissons sans alcool,"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée",0.00138
boissons,boissons sans alcool,"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants",0.00138
boissons,boissons sans alcool,"Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée",0.00138
boissons,boissons sans alcool,"Boisson gazeuse, sans jus de fruit, sucrée",0.00174
boissons,boissons sans alcool,"Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants",0.00174
boissons,boissons sans alcool,"Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D",0.00275
boissons,boissons sans alcool,"Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux",0.00275
boissons,boissons sans alcool,"Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres",0.00182
boissons,boissons sans alcool,"Boisson plate aux fruits (10 à 50% de jus), sucrée",0.00182
boissons,boissons sans alcool,"Boisson plate aux fruits (à moins de 10% de jus), sucrée",0.00182
boissons,boissons sans alcool,"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée",0.00182
boissons,boissons sans alcool,"Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants",0.00113
boissons,boissons sans alcool,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",0.000351
boissons,boissons sans alcool,"Cacao, non sucré, poudre soluble",0.0419
boissons,boissons sans alcool,"Café au lait ou cappuccino au chocolat, poudre soluble",24
boissons,boissons sans alcool,"Café au lait ou cappuccino, poudre soluble",0.0235
boissons,boissons sans alcool,"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire",0.00143
boissons,boissons sans alcool,"Café décaféiné, instantané, non sucré, prêt à boire",0.00634
boissons,boissons sans alcool,"Café décaféiné, non instantané, non sucré, prêt à boire",0.00268
boissons,boissons sans alcool,"Café expresso, non instantané, non sucré, prêt à boire",0.00261
boissons,boissons sans alcool,"Café, décaféiné, poudre soluble",108
boissons,boissons sans alcool,"Café, instantané, non sucré, prêt à boire",0.0062
boissons,boissons sans alcool,"Café, moulu",0.0442
boissons,boissons sans alcool,"Café, non instantané, non sucré, prêt à boire",0.00261
boissons,boissons sans alcool,"Café, poudre soluble",106
boissons,boisson alcoolisées,Champagne,0.00579
boissons,boissons sans alcool,"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)",0.00608
boissons,boissons sans alcool,"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",0.00608
boissons,boissons sans alcool,"Chicorée et café, poudre soluble",0.0508
boissons,boissons sans alcool,"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",0.00238
boissons,boissons sans alcool,"Chicorée, poudre soluble, non réhydratée",0.0116
boissons,boissons sans alcool,"Chicorée, poudre soluble, réhydratée",0.000261
boissons,boisson alcoolisées,Cidre aromatisé (framboise),0.00408
boissons,boisson alcoolisées,Cidre bouché demi-sec,0.00408
boissons,boisson alcoolisées,Cidre brut,0.00408
boissons,boisson alcoolisées,Cidre doux,0.00408
boissons,boisson alcoolisées,Cidre traditionnel,0.00408
boissons,boissons sans alcool,"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",0.00356
boissons,boisson alcoolisées,Cocktail à base de rhum,0.00477
boissons,boisson alcoolisées,Cocktail à base de whisky,0.00546
boissons,boisson alcoolisées,Cocktail sans alcool (à base de jus de fruits et de sirop),0.00372
boissons,boisson alcoolisées,"Cocktail type punch, 16% alcool",0.0054
boissons,boissons sans alcool,"Cola, non sucré, avec édulcorants",0.00174
boissons,boissons sans alcool,"Cola, non sucré, avec édulcorants, sans caféine",0.00174
boissons,boissons sans alcool,"Cola, sucré",0.00174
boissons,boissons sans alcool,"Cola, sucré, avec édulcorants",0.00174
boissons,boissons sans alcool,"Cola, sucré, sans caféine",0.00174
boissons,boisson alcoolisées,Crème de cassis,0.00546
boissons,boissons sans alcool,Diabolo (limonade et sirop),0.00192
boissons,eaux,"Eau de source Cristaline, embouteillée, non gazeuse",0.000669
boissons,eaux,"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)",0.000669
boissons,boisson alcoolisées,Eau de vie,0.00836
boissons,boisson alcoolisées,"Eau de vie de vin, type armagnac, cognac",0.00838
boissons,eaux,Eau embouteillée de source,0.000669
boissons,eaux,"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)",0.000669
boissons,eaux,"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)",0.000669
boissons,eaux,"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)",0.000669
boissons,eaux,"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)",0.000669
boissons,eaux,"Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)",0.000669
boissons,eaux,"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)",0.000669
boissons,eaux,"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)",0.000669
boissons,eaux,"Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0.000669
boissons,eaux,"Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42)",0.000669
boissons,eaux,"Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)",0.000669
boissons,eaux,"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)",0.000669
boissons,eaux,"Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)",0.000669
boissons,eaux,"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)",0.000669
boissons,eaux,"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)",0.000669
boissons,eaux,"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.000669
boissons,eaux,"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)",0.000669
boissons,eaux,"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)",0.000669
boissons,eaux,"Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0.000669
boissons,eaux,"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)",0.000669
boissons,eaux,"Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)",0.000669
boissons,eaux,"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.000669
boissons,eaux,"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)",0.000669
boissons,eaux,"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)",0.000669
boissons,eaux,"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)",0.000669
boissons,eaux,"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)",0.000669
boissons,eaux,"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)",0.000669
boissons,eaux,"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)",0.000669
boissons,eaux,"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)",0.000669
boissons,eaux,"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)",0.000669
boissons,eaux,"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)",0.000669
boissons,eaux,"Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34)",0.000669
boissons,eaux,"Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0.000669
boissons,eaux,"Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.000669
boissons,eaux,"Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)",0.000669
boissons,eaux,"Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.000669
boissons,eaux,"Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.000669
boissons,eaux,"Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09)",0.000669
